"catalogue","genus","species","longdec","latdec"
"J61022","Anilios","affinis",142.2,-26.55
"J89731","Anilios","affinis",143.3261,-24.1353
"J81413","Anilios","affinis",145.2345,-22.9651
"J46706","Anilios","affinis",145.3667,-22.8167
"J72756","Anilios","affinis",145.4,-22.3447
"J28797","Anilios","affinis",145.45,-23.55
"J44506","Anilios","affinis",145.65,-19.4833
"R.64980","Anilios","affinis",145.68,-28.07
"J44893","Anilios","affinis",145.7,-20.5167
"J44499","Anilios","affinis",145.7833,-19.6333
"J44501","Anilios","affinis",146.1667,-20.7667
"R.142984","Anilios","affinis",146.2314,-29.3431
"J5400","Anilios","affinis",146.25,-26.4
"J24289","Anilios","affinis",146.2667,-20.0833
"R.135419","Anilios","affinis",146.27,-29.1
"J44505","Anilios","affinis",146.2833,-20.2
"J74998","Anilios","affinis",146.4167,-20
"J67491","Anilios","affinis",146.455,-19.1239
"J7380","Anilios","affinis",146.475,-19.3583
"J79875","Anilios","affinis",146.5511,-19.5985
"J44503","Anilios","affinis",146.65,-20.3333
"J60650","Anilios","affinis",146.7333,-19.5333
"J60651","Anilios","affinis",146.7667,-19.3333
"J61813","Anilios","affinis",146.7833,-19.4
"J76661","Anilios","affinis",146.8167,-19.3167
"J93635","Anilios","affinis",146.8672,-20.5114
"J61812","Anilios","affinis",146.95,-19.4167
"J76969","Anilios","affinis",147.5147,-22.7111
"J92358","Anilios","affinis",147.6369,-24.8381
"J81301","Anilios","affinis",147.6983,-20.6978
"J81300","Anilios","affinis",147.7853,-21.1472
"J81074","Anilios","affinis",147.7864,-21.1581
"J76269","Anilios","affinis",147.8,-19.75
"J76612","Anilios","affinis",147.8661,-25.09
"J76613","Anilios","affinis",147.8778,-25.0731
"J93015","Anilios","affinis",147.8994,-22.7156
"J76614","Anilios","affinis",147.9181,-25.0394
"J76610","Anilios","affinis",147.9292,-25.0217
"J91141","Anilios","affinis",147.9311,-21.5476
"R.12102","Anilios","affinis",148.02,-23.08
"R.12683","Anilios","affinis",148.08,-24.12
"J61423","Anilios","affinis",148.1,-23.6667
"J36876","Anilios","affinis",148.1667,-23.5167
"J5262","Anilios","affinis",148.1833,-26.3333
"J84315","Anilios","affinis",148.3197,-22.0117
"J11566","Anilios","affinis",148.5833,-28.05
"J73001","Anilios","affinis",148.8472,-23.2167
"J79743","Anilios","affinis",148.8694,-23.1919
"R.16759","Anilios","affinis",149,-28.98
"R55645","Anilios","affinis",149.1997,-23.6294
"J7365","Anilios","affinis",149.6167,-26.65
"R.178263","Anilios","affinis",149.67,-23.72
"J82141","Anilios","affinis",149.7006,-26.5178
"J11630","Anilios","affinis",149.9833,-24.5667
"J64584","Anilios","affinis",150.3333,-23.5167
"J68718","Anilios","affinis",150.3344,-23.5151
"R.9322","Anilios","affinis",150.38,-23.65
"J77031","Anilios","affinis",150.8,-23.2833
"R.6343","Anilios","affinis",151.12,-25.37
"J73628","Anilios","affinis",151.3511,-27.6984
"J45432","Anilios","affinis",151.5667,-24.3333
"R.153041","Anilios","affinis",151.62,-25.62
"J70008","Anilios","affinis",152.8639,-27.6969
"J23870","Anilios","affinis",152.8833,-27.5667
"R151302","Anilios","ammodytes",114.0817,-22.1783
"R61472","Anilios","ammodytes",114.0833,-22.1666
"R145694","Anilios","ammodytes",115.1969,-21.7108
"R170643","Anilios","ammodytes",115.248,-21.7792
"R164513","Anilios","ammodytes",115.367,-21.7789
"R28039","Anilios","ammodytes",115.4167,-20.7833
"R162017","Anilios","ammodytes",115.437,-22.2554
"R172597","Anilios","ammodytes",115.4446,-20.7786
"R175818","Anilios","ammodytes",115.457605,-20.785872
"R170620","Anilios","ammodytes",115.464,-21.7914
"R139430","Anilios","ammodytes",115.4667,-22.0333
"R162035","Anilios","ammodytes",115.491,-22.256
"R85052","Anilios","ammodytes",115.5,-22.5333
"R161994","Anilios","ammodytes",115.558,-22.4984
"R162031","Anilios","ammodytes",115.578,-22.9179
"R163004","Anilios","ammodytes",115.661,-22.4523
"R170619","Anilios","ammodytes",115.723,-21.9181
"R102490","Anilios","ammodytes",115.7908,-23.0794
"R102482","Anilios","ammodytes",115.8125,-23.0441
"R102496","Anilios","ammodytes",115.8806,-23.3791
"R165175","Anilios","ammodytes",115.93,-22.4348
"R102560","Anilios","ammodytes",116.0097,-23.0958
"R141306","Anilios","ammodytes",116.1872,-21.0152
"R141313","Anilios","ammodytes",116.1922,-20.9113
"R110858","Anilios","ammodytes",116.2997,-21.8188
"R110841","Anilios","ammodytes",116.4539,-21.9413
"R162120","Anilios","ammodytes",116.461,-22.7402
"R110856","Anilios","ammodytes",116.4636,-21.9483
"R110847","Anilios","ammodytes",116.4653,-21.9511
"R170659","Anilios","ammodytes",116.492,-21.6331
"R170658","Anilios","ammodytes",116.503,-21.8736
"R165284","Anilios","ammodytes",116.6806,-20.7922
"R165282","Anilios","ammodytes",116.6814,-20.7986
